uid,title,year,runtime_mins,ave_rating,num_votes
tt0026144,Broadway Melody of 1936,1935.0,101.0,6.8,1540.0
tt0026161,The Favorite,1935.0,74.0,6.9,9.0
tt0026202,Cheer Up,1936.0,72.0,6.2,55.0
tt0026225,College Scandal,1935.0,76.0,6.9,20.0
tt0026227,Come Out of the Pantry,1935.0,71.0,5.4,5.0
tt0026234,Coronado,1935.0,77.0,7.3,23.0
tt0026252,Curly Top,1935.0,75.0,6.9,1685.0
tt0026256,Dance Band,1935.0,75.0,6.7,17.0
tt0026270,The Deputy Drummer,1935.0,71.0,6.3,15.0
tt0026282,Dizzy Dames,1935.0,65.0,6.4,49.0
tt0026296,Dressed to Thrill,1935.0,68.0,,
tt0026301,El día que me quieras,1935.0,82.0,6.5,120.0
tt0026323,Estudantes,1935.0,70.0,7.0,5.0
tt0026325,Every Night at Eight,1935.0,80.0,6.3,121.0
tt0026359,A Fire Has Been Arranged,1935.0,70.0,6.2,92.0
tt0026361,First a Girl,1935.0,94.0,7.0,438.0
tt0026373,Folies Bergère de Paris,1935.0,82.0,6.6,253.0
tt0026403,George White's 1935 Scandals,1935.0,84.0,6.0,151.0
tt0026418,Go Into Your Dance,1935.0,89.0,6.1,329.0
tt0026419,Goin' to Town,1935.0,74.0,6.5,460.0
tt0026421,Gold Diggers of 1935,1935.0,95.0,6.9,2422.0
tt0026460,Heart's Desire,1935.0,82.0,6.5,26.0
tt0026466,Here Comes the Band,1935.0,86.0,5.9,48.0
tt0026467,Here's to Romance,1935.0,82.0,5.6,7.0
tt0026471,Juan Simon's Daughter,1935.0,69.0,5.8,36.0
tt0026472,Heaven on Earth,1935.0,90.0,6.1,95.0
tt0026485,L'homme des Folies Bergère,1935.0,83.0,6.7,58.0
tt0026488,Honeymoon for Three,1935.0,81.0,6.1,32.0
tt0026491,Hooray for Love,1935.0,72.0,5.9,139.0
tt0026507,I Dream Too Much,1935.0,97.0,5.4,436.0
tt0026512,I Live for Love,1935.0,64.0,4.8,108.0
tt0026520,Iglói diákok,1935.0,100.0,4.6,10.0
tt0026521,Im weißen Rößl,1935.0,,6.9,18.0
