College,Course Prefix,Department,Total Students,gpa_total,Average GPA,semester
Business,D S,Decision Science,32.0,90.7,2.8344,Spring 2021
Business,FIN,Finance,4206.0,11142.8,2.6493,Spring 2021
Business,I B,International Business,274.0,745.39,2.7204,Spring 2021
Business,LEB,Legal Environment Of Business,1606.0,3910.1,2.4347,Spring 2021
Business,MAN,Management,3665.0,11364.22,3.1007,Spring 2021
Business,MIS,Management Information Systems,3081.0,9192.1,2.9835,Spring 2021
Business,MKT,Marketing,3152.0,9221.0,2.9254,Spring 2021
Business,O M,Operations Management,576.0,1657.24,2.8772,Spring 2021
Business,R E,Real Estate,216.0,766.75,3.5498,Spring 2021
Business,R M,Risk Management,222.0,690.71,3.1113,Spring 2021
Business,STA,Statistics,1927.0,4929.83,2.5583,Spring 2021
Communication,ADV,Advertising,4204.0,13958.86,3.3204,Spring 2021
Communication,CLD,Communication And Leadership,195.0,650.76,3.3372,Spring 2021
Communication,CMS,Communication Studies,2510.0,7531.4800000000005,3.0006,Spring 2021
Communication,COM,Communication,148.0,497.02,3.3582,Spring 2021
Communication,J,Journalism,1281.0,4155.1,3.2436,Spring 2021
Communication,P R,Public Relations,616.0,2072.98,3.3652,Spring 2021
Communication,RTF,Radio-Television-Film,2786.0,8337.56,2.9927,Spring 2021
Communication,SLH,"Speech, Language, And Hearing Sciences",998.0,3491.68,3.4987,Spring 2021
Education,ALD,Applied Learning And Development,834.0,2960.5,3.5498,Spring 2021
Education,EDC,Curriculum And Instruction,343.0,1232.38,3.5929,Spring 2021
Education,EDP,Educational Psychology,2238.0,7735.67,3.4565,Spring 2021
Education,ELP,Educational Leadership And Policy,237.0,852.4,3.5966,Spring 2021
Education,HED,Health Education,404.0,1237.79,3.0638,Spring 2021
Education,KIN,Kinesiology,2523.0,7511.62,2.9773,Spring 2021
Education,PED,Physical Education,1274.0,4265.71,3.3483,Spring 2021
Education,SED,Special Education,172.0,637.03,3.7037,Spring 2021
Engineering,ARE,Architectural Engineering,502.0,1699.82,3.3861,Spring 2021
Engineering,ASE,Aerospace Engineering,1118.0,3057.53,2.7348,Spring 2021
Engineering,BME,Biomedical Engineering,1164.0,3855.83,3.3126,Spring 2021
Engineering,C E,Civil Engineering,1566.0,4578.8,2.9239,Spring 2021
Engineering,CHE,Chemical Engineering,1397.0,3394.25,2.4297,Spring 2021
Engineering,COE,Computational Engineering,377.0,963.37,2.5554,Spring 2021
Engineering,E E,Electrical Engineering,3367.0,8995.09,2.6715,Spring 2021
Engineering,E M,Engineering Mechanics,950.0,1894.68,1.9944,Spring 2021
Engineering,E S,Engineering Studies,53.0,174.01,3.2832,Spring 2021
Engineering,EVE,Environmental Engineering,83.0,305.03,3.6751,Spring 2021
Engineering,M E,Mechanical Engineering,3453.0,9832.76,2.8476,Spring 2021
Engineering,ORI,Operations Research And Industrial Engineering,102.0,340.38,3.3371,Spring 2021
Engineering,PGE,Petroleum And Geosystems Engineering,717.0,2205.4,3.0759,Spring 2021
Fine Arts,AET,Arts And Entertainment Technologies,1001.0,3295.37,3.2921,Spring 2021
Fine Arts,ARH,Art History,1121.0,3456.27,3.0832,Spring 2021
Fine Arts,ART,Studio Art,356.0,1295.92,3.6402,Spring 2021
Fine Arts,DES,Design,392.0,1449.83,3.6985,Spring 2021
Fine Arts,ENS,Ensemble,97.0,344.01,3.5465,Spring 2021
Fine Arts,F A,Fine Arts,96.0,343.35,3.5766,Spring 2021
Fine Arts,ITD,Integrated Design,213.0,732.75,3.4401,Spring 2021
Fine Arts,MUS,Music,2166.0,7381.7,3.408,Spring 2021
Fine Arts,T D,Theatre And Dance,547.0,1881.1100000000001,3.439,Spring 2021
Geoscience,EVS,Environmental Science,114.0,376.02,3.2984,Spring 2021
Geoscience,GEO,Geological Sciences,966.0,2743.15,2.8397,Spring 2021
Information,I,Informatics,290.0,875.39,3.0186,Spring 2021
Information,INF,Information Studies,222.0,824.76,3.7151,Spring 2021
Information,ISP,Information Security And Privacy,36.0,127.39,3.5386,Spring 2021
LBJ Public Affairs,P A,Public Affairs,884.0,3161.53,3.5764,Spring 2021
