@relation New-No-League-F-Hall-of-fame-train.arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute league {N,A}
@attribute games numeric
@attribute minutes numeric
@attribute pts numeric
@attribute offReb numeric
@attribute defReb numeric
@attribute reb numeric
@attribute asts numeric
@attribute stl numeric
@attribute blk numeric
@attribute turnover numeric
@attribute pf numeric
@attribute fga numeric
@attribute fgm numeric
@attribute fta numeric
@attribute ftm numeric
@attribute totalSeasons numeric
@attribute Position {G,F,C}
@attribute firstSeason numeric
@attribute lastSeason numeric
@attribute careerEnded numeric
@attribute yrsRetired2004 numeric
@attribute class {0,1}

@data
A,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,F,1971,1971,1,33,0
N,24,123,3.5,0.4166666666666667,0.8333333333333334,1.25,0.2916666666666667,0.2916666666666667,0.16666666666666666,0.6666666666666666,23,98,37,19,9,1,F,1980,1980,1,24,0
N,1193,38063,21.46940486169321,2.3285834031852475,3.151718357082984,5.480301760268231,3.647108130762783,0.8943839061190276,0.6982397317686505,2.364626990779547,3027,21036,10659,5141,4277,15,F,1976,1990,1,14,1
A,58,1137,6.172413793103448,0.0,0.0,2.413793103448276,1.7413793103448276,0.0,0.0,1.8275862068965518,148,372,110,203,137,2,G,1967,1968,1,36,0
N,358,6571,5.932960893854749,0.7737430167597765,2.463687150837989,3.2374301675977653,1.005586592178771,0.6731843575418994,0.388268156424581,0.7988826815642458,732,2010,785,443,322,6,F,1999,2004,0,0,0
N,9,0,1.6666666666666667,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,13,27,6,5,3,1,F,1949,1949,1,55,0
N,30,384,3.6333333333333333,1.5666666666666667,2.3666666666666667,3.933333333333333,0.4,0.4,0.8,0.4,87,78,45,40,19,1,F,2004,2004,0,0,0
N,68,1330,6.764705882352941,0.14705882352941177,1.3823529411764706,1.5294117647058822,3.2941176470588234,0.5147058823529411,0.058823529411764705,1.838235294117647,120,430,169,133,105,1,G,2004,2004,0,0,0
N,272,4568,7.411764705882353,0.0,0.0,2.8198529411764706,2.0036764705882355,0.0,0.0,0.0,658,2153,846,475,324,5,G,1960,1964,1,40,0
A,125,2668,6.288,0.0,0.0,8.312,1.448,0.0,0.0,1.24,441,787,305,321,176,2,C,1967,1968,1,36,0
N,926,30001,17.624190064794817,1.6857451403887689,3.398488120950324,5.084233261339093,3.014038876889849,1.1241900647948164,0.673866090712743,2.0075593952483803,1975,13204,6878,3184,2447,12,F,1982,1993,1,11,1
N,1278,36555,9.64866979655712,2.624413145539906,4.787949921752738,7.412363067292644,1.0954616588419406,0.8082942097026604,0.42644757433489827,1.1220657276995305,2436,9202,4544,4250,3119,16,F,1985,2000,1,4,0
N,713,24897,22.813464235624124,0.0,0.0,8.596072931276296,2.335203366058906,0.0,0.0,0.0,2764,13354,5628,6189,5010,12,F,1950,1961,1,43,1
N,118,2132,7.0508474576271185,0.576271186440678,1.8135593220338984,2.389830508474576,0.8389830508474576,0.7457627118644068,0.1016949152542373,0.0,112,902,359,150,114,2,G,1975,1976,1,28,0
N,52,628,3.4615384615384617,1.2692307692307692,2.25,3.519230769230769,0.6346153846153846,0.3269230769230769,0.4423076923076923,0.9230769230769231,100,169,73,55,34,1,G,1979,1979,1,25,0
N,95,1143,3.263157894736842,0.4421052631578947,0.8210526315789474,1.263157894736842,1.1368421052631579,0.5052631578947369,0.15789473684210525,0.7157894736842105,151,282,123,84,61,2,F,1991,1992,1,12,0
A,25,342,5.08,0.0,0.0,2.88,0.8,0.0,0.0,1.0,76,128,54,32,19,5,F,1968,1972,1,32,0
N,157,1970,4.7834394904458595,1.1847133757961783,1.6114649681528663,2.7961783439490446,0.7006369426751592,0.6815286624203821,0.2484076433121019,0.8343949044585988,251,658,306,249,139,3,F,1982,1984,1,20,0
A,414,10554,12.46376811594203,0.0,0.0,6.2898550724637685,0.9903381642512077,0.0,0.0,1.0797101449275361,1411,4408,2116,1101,919,6,F,1967,1972,1,32,0
N,291,5188,5.948453608247423,0.2268041237113402,1.0962199312714778,1.3230240549828178,3.5120274914089347,0.8384879725085911,0.09965635738831616,1.2027491408934707,393,1553,720,363,272,5,G,1980,1984,1,20,0
