@relation New-No-League-F-Hall-of-fame-train.arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute league {N,A}
@attribute games numeric
@attribute minutes numeric
@attribute pts numeric
@attribute offReb numeric
@attribute defReb numeric
@attribute reb numeric
@attribute asts numeric
@attribute stl numeric
@attribute blk numeric
@attribute turnover numeric
@attribute pf numeric
@attribute fga numeric
@attribute fgm numeric
@attribute fta numeric
@attribute ftm numeric
@attribute totalSeasons numeric
@attribute Position {G,F,C}
@attribute firstSeason numeric
@attribute lastSeason numeric
@attribute careerEnded numeric
@attribute yrsRetired2004 numeric
@attribute class {0,1}

@data
N,731,16278,9.989056,1.378933,3.28591,4.664843,1.893297,0.880985,0.389877,1.876881,2298,5538,2873,2028,1501,13,F,1984,1996,1,8,0
N,57,776,5.54386,0.736842,1.45614,2.192982,1.350877,0.578947,0.157895,1.333333,112,300,141,48,33,1,F,1979,1979,1,25,0
N,10,70,3.3,1.3,1.4,2.7,0.3,0.1,0.2,0.2,7,26,14,7,5,1,F,1981,1981,1,23,0
N,262,5229,9.572519,0.816794,1.78626,2.603053,1.935115,1.217557,0.385496,1.103053,619,2415,1109,386,288,4,G,1976,1979,1,25,0
N,98,1220,3.520408,0.72449,2.530612,3.255102,0.489796,0.27551,0.428571,0.867347,220,323,148,97,47,3,F,2000,2002,1,2,0
N,745,21731,18.049664,0,0,6.867114,3.009396,0,0,0,2388,11630,5239,3722,2969,14,F,1956,1969,1,35,1
N,825,30965,18.886061,0.488485,1.846061,5.854545,6.109091,0.825455,0.071515,0.168485,2180,12516,6130,4226,3321,13,G,1967,1979,1,25,1
N,704,19075,16.97017,0,0,9.464489,1.558239,0,0,0,2289,10795,4784,3141,2379,11,C,1953,1963,1,41,1
N,964,35875,14.976141,0.771784,1.895228,15.004149,2.671162,0.129668,0.573651,0,2624,13105,5521,5089,3395,14,C,1963,1976,1,28,1
N,901,32769,20.340733,0.463929,0.82242,3.795782,5.990011,0.536071,0.098779,0.239734,2615,15769,6962,5683,4403,12,G,1966,1977,1,27,1
N,1043,38940,20.077661,0.253116,0.46117,13.653883,2.439118,0.049856,0.046021,0,3536,15340,7914,8088,5113,14,C,1961,1974,1,30,1
N,568,12128,12.190141,0,0,3.484155,3.221831,0,0,0,1275,5768,2268,2976,2388,9,G,1948,1956,1,48,1
N,926,29636,18.848812,0.280778,1.053996,3.019438,3.88121,0.510799,0.13067,0.329374,2416,14898,6906,4513,3642,13,G,1967,1979,1,25,1
N,701,15378,9.10699,0,0,3.416548,5.36234,0,0,0,1925,6318,2323,2499,1738,11,G,1947,1957,1,47,1
A,116,4438,23.137931,0,2.853448,11.577586,5.862069,2.37069,0.181034,4.37931,414,2120,1024,785,621,11,F,1965,1975,1,29,1
N,472,15767,19.201271,0,0,8.940678,1.726695,0,0,0,1426,7572,3193,3434,2677,7,F,1953,1959,1,45,1
N,766,29565,17.644909,2.05483,6.686684,13.634465,3.798956,0.781984,0.637076,0.708877,2920,12499,5744,2590,2027,13,C,1970,1982,1,22,1
N,875,31202,16.060571,0.153143,0.712,10.992,2.853714,0.076571,0.044571,0,2801,13249,5722,3730,2609,12,F,1962,1973,1,31,1
N,698,22529,11.276504,0,0,8.047278,4.243553,0,0,0,2688,6883,2964,2556,1943,11,G,1955,1965,1,39,1
N,489,4490,16.366053,0,0,2.820041,1.200409,0,0,0,1774,9338,2824,3075,2355,8,F,1946,1953,1,51,1
N,265,0,6.460377,0,0,0.271698,1.173585,0,0,0,392,2190,655,620,402,5,G,1946,1950,1,54,0
N,343,8569,9.527697,2.172012,5.209913,7.381924,0.760933,0.422741,1.163265,1.740525,968,2356,1136,1393,996,5,C,2000,2004,0,0,0
N,19,101,2.526316,0.052632,0,0.526316,0.421053,0,0,0,18,60,24,0,0,5,G,1969,1973,1,31,0
